,Unnamed: 0,batsman,bowler,batsman_runs,total_runs,dismissals,balls,strike_rate,economy,bowler_strike_rate,bowler_average,metric
166,814,MK Tiwary,MM Sharma,15.0,15.0,0.1,10.0,150.0,9.0,100.0,150.0,1.26227131631742
167,823,DT Christian,AR Patel,1.0,1.0,0.1,2.0,50.0,3.0,20.0,10.0,0.0280504736959426
168,826,DT Christian,MM Sharma,2.0,2.0,0.1,2.0,100.0,6.0,20.0,20.0,0.11220189478377063
169,832,MK Tiwary,Sandeep Sharma,6.0,6.0,0.1,3.0,200.0,12.0,30.0,60.0,0.6732113687026239
170,833,DT Christian,Sandeep Sharma,14.0,14.0,1.0,4.0,350.0,21.0,4.0,14.0,0.2748946422202381
171,838,HM Amla,AB Dinda,8.0,8.0,0.1,11.0,72.72727272727273,4.363636363636363,110.0,80.0,0.32640551209824187
172,842,M Vohra,AB Dinda,31.0,31.0,1.0,14.0,221.42857142857142,13.285714285714286,14.0,31.0,0.3850929317400128
173,844,M Vohra,DT Christian,6.0,8.0,0.1,6.0,100.0,8.0,60.0,80.0,0.4488075791350825
174,848,HM Amla,DT Christian,11.0,11.0,0.1,4.0,275.0,16.5,40.0,110.0,1.6970536586045313
175,858,WP Saha,DT Christian,5.0,5.0,1.0,5.0,100.0,6.0,5.0,5.0,0.0280504736959426
176,864,WP Saha,BA Stokes,11.0,11.0,0.1,7.0,157.14285714285714,9.428571428571429,70.0,110.0,0.9697449477740177
177,865,HM Amla,BA Stokes,2.0,2.0,0.1,3.0,66.66666666666667,4.0,30.0,20.0,0.07480126318918034
178,870,HM Amla,Imran Tahir,3.0,3.0,0.1,4.0,75.0,4.5,40.0,30.0,0.12622713163174193
179,871,WP Saha,Imran Tahir,3.0,3.0,1.0,3.0,100.0,6.0,3.0,3.0,0.016830284217565494
180,872,AR Patel,Imran Tahir,25.0,30.0,2.0,26.0,96.15384615384616,6.923076923076923,13.0,15.0,0.08091482796906535
181,876,AR Patel,BA Stokes,3.0,4.0,0.1,12.0,25.0,2.0,120.0,40.0,0.056100947391885314
182,888,AR Patel,RD Chahar,10.0,13.0,0.1,9.0,111.11111111111111,8.666666666666666,90.0,130.0,0.8103470178827881
183,889,HM Amla,RD Chahar,3.0,3.0,1.0,6.0,50.0,3.0,6.0,3.0,0.008415142108782803
184,894,HM Amla,R Bhatia,3.0,3.0,0.1,3.0,100.0,6.0,30.0,30.0,0.16830284217565594
185,895,AR Patel,R Bhatia,4.0,4.0,0.1,3.0,133.33333333333334,8.0,30.0,40.0,0.2992050527567217
186,910,GJ Maxwell,Imran Tahir,41.0,44.0,2.0,21.0,195.23809523809524,12.571428571428571,10.5,22.0,0.24096692641657408
187,911,DA Miller,Imran Tahir,38.0,39.0,0.1,28.0,135.71428571428572,8.357142857142858,280.0,390.0,2.9693430012419304
188,915,GJ Maxwell,RD Chahar,12.0,14.0,0.1,7.0,171.42857142857142,12.0,70.0,140.0,1.3464227374052475
189,917,DA Miller,RD Chahar,3.0,3.0,0.1,6.0,50.0,3.0,60.0,30.0,0.08415142108782792
190,922,DA Miller,R Bhatia,16.0,16.0,0.1,11.0,145.45454545454547,8.727272727272727,110.0,160.0,1.3056220483929677
191,923,GJ Maxwell,R Bhatia,37.0,40.0,0.1,19.0,194.73684210526315,12.631578947368421,190.0,400.0,4.369968533683699
192,929,GJ Maxwell,BA Stokes,12.0,13.0,0.1,7.0,171.42857142857142,11.142857142857142,70.0,130.0,1.2502496847334443
193,932,DA Miller,BA Stokes,6.0,6.0,0.1,6.0,100.0,6.0,60.0,60.0,0.3366056843513119
194,947,GJ Maxwell,AB Dinda,12.0,12.0,0.1,6.0,200.0,12.0,60.0,120.0,1.3464227374052475
195,948,DA Miller,AB Dinda,28.0,29.0,0.1,17.0,164.7058823529412,10.235294117647058,170.0,290.0,2.6796452518947578
196,960,CH Gayle,Z Khan,34.0,36.0,3.0,39.0,87.17948717948718,5.538461538461538,13.0,12.0,0.05869022188689543
197,961,SR Watson,Z Khan,42.0,46.0,0.1,42.0,100.0,6.571428571428571,420.0,460.0,2.5806435800267256
